"Hour of the Day","Hostel Load","Hostel Generation","Solar hostel Generation","Wind hostel Generation","Hostel Credit","Hostel Debit","H Battery SOC","Department Load","Department Generation","Solar Department Generation","Wind Department Generation","Department Credit","Department Debit","D battery SOC","Battery Action"
"0","100.0","100.0","0.0","100.0","hostelCredit:0.0","","65.0","100.0","80.0","0.0","80.0","","departmentDebit:-20.0","55.0","discharge"
"1","100.0","100.0","0.0","100.0","hostelCredit:0.0","","64.90972","100.0","60.0","0.0","60.0","","departmentDebit:-40.0","55.0","discharge"
"2","100.0","100.0","0.0","100.0","hostelCredit:0.0","","64.72914","100.0","60.0","0.0","60.0","","departmentDebit:-40.0","55.0","discharge"
"3","100.0","120.0","0.0","120.0","hostelCredit:20.0","","64.54852","100.0","50.0","0.0","50.0","","departmentDebit:-50.0","55.0","discharge"
"4","100.0","40.0","0.0","40.0","","hostelDebit:-60.0","64.413025","200.0","60.0","0.0","60.0","","departmentDebit:-140.0","55.0","discharge"
"5","300.0","60.0","0.0","60.0","","hostelDebit:-240.0","63.50956","200.0","70.0","0.0","70.0","","departmentDebit:-130.0","55.0","discharge"
"6","300.0","130.0","50.0","80.0","","hostelDebit:-170.0","61.83615","400.0","150.0","50.0","100.0","","departmentDebit:-250.0","55.0","discharge"
"7","300.0","380.0","260.0","120.0","hostelCredit:80.0","","59.932198","400.0","380.0","260.0","120.0","","departmentDebit:-20.0","55.0","charge"
"8","400.0","660.0","460.0","200.0","hostelCredit:260.0","","59.932198","600.0","590.0","460.0","130.0","","departmentDebit:-10.0","55.28948","charge"
"9","400.0","750.0","610.0","140.0","hostelCredit:350.0","","59.932198","700.0","760.0","610.0","150.0","departmentCredit:60.0","","56.49584","charge"
"10","900.0","1200.0","700.0","500.0","hostelCredit:300.0","","59.932198","900.0","1000.0","700.0","300.0","departmentCredit:100.0","","58.47575","charge"
"11","900.0","1290.0","740.0","550.0","hostelCredit:390.0","","59.932198","900.0","1090.0","740.0","350.0","departmentCredit:190.0","","60.40961","charge"
"12","900.0","1330.0","730.0","600.0","hostelCredit:430.0","","62.27082","900.0","1050.0","730.0","320.0","departmentCredit:150.0","","60.40961","charge"
"13","900.0","1290.0","670.0","620.0","hostelCredit:390.0","","62.27082","900.0","990.0","670.0","320.0","departmentCredit:90.0","","63.216675","charge"
